StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2012,TotalP2012,TotalE2012,TotalPrice2012,TotalC12-13,TotalP12-13,TotalE12-13,TotalPrice12-13,BiomassC2012,CoalC2012,CoalP2012,CoalE2012,CoalPrice2012,ElecC2012,ElecE2012,ElecPrice2012,FossFuelC2012,GeoC2012,GeoP2012,HydroC2012,HydroP2012,NatGasC2012,NatGasE2012,NatGasPrice2012,LPGC2012,LPGE2012,LPGPrice2012,GDP2012Q1,GDP2012Q2,GDP2012Q3,GDP2012Q4,GDP2012,POPESTIMATE2012,RBIRTH2012,RDEATH2012,RNATURALINC2012,RINTERNATIONALMIG2012,RDOMESTICMIG2012,RNETMIG2012
AL,Alabama,3,6,1,0,1879716,1433370,24192.8,19.96,102.109308,102.1122948,99.72801825,95.29058116,181878,547004,488084,1808.8,3.31,294055,7665.7,27.32,1740315,141,0,70754,7435,677380,2595.8,4.28,8628,212,24.58,186696,188403,186620,187414,187283.25,4817484,12.28088177,10.05907053,2.221811238,1.169746399,-0.168413541,1.001332858
AK,Alaska,4,9,1,0,649341,1563102,7884.5,25.09,95.65189939,96.84966176,92.35715645,98.04703069,4032,15521,31332,63,4.06,21893,1035,47.84,629768,186,0,14988,1575,347228,513.9,6.26,1314,36,27.47,61498,62216,61718,61022,61613.5,731081,15.29663544,5.419450171,9.877185271,3.784947302,-1.949571184,1.835376118
AZ,Arizona,4,8,0,0,1395839,598039,22872.4,26.41,101.32852,99.49083588,99.86315384,98.63687997,27267,420570,161374,879.9,2.09,256116,7361,28.74,1248032,345,0,63918,6717,339043,1802.3,5.52,6522,188.4,28.88,263989,267723,266222,266589,266130.75,2949300,13.11303338,10.10304481,3.009988569,1.042846734,-0.420875278,0.621971456
AR,Arkansas,3,7,0,0,1067642,1472778,13755.5,19.98,102.6971588,97.23624334,102.5197194,97.7977978,96248,296732,2077,673.3,2.27,159885,3456.4,22.56,918078,808,0,20921,2198,300572,1496.5,5.53,7733,191,24.71,111113,112045,111813,111193,111541,6556236,13.13613071,7.483554317,5.65257639,2.023930581,5.13128187,7.15521245
CA,California,4,9,1,0,7564063,2334863,135932,24.97,101.3376145,102.3796257,100.822985,99.51942331,280963,43832,0,133.6,3.05,885544,34852.5,39.75,5687343,121269,12519,255384,26837,2456371,13009.6,5.72,55405,1492.5,27.66,2084370,2106228,2125468,2170343,2121602.25,38062780,13.13081487,6.326351457,6.804463415,3.94672024,-1.173950696,2.772769544
CO,Colorado,4,8,0,0,1440781,2921385,19295.6,21.81,102.0865767,97.15230961,101.9439665,96.92801467,30680,370085,629645,689.4,1.86,183174,4987.6,27.63,1282352,759,0,14247,1497,461056,2064.6,6.32,15118,332.3,22.09,272831,277087,278751,281918,277646.75,5191709,12.55681835,6.343095049,6.213723298,2.107188473,5.553675215,7.660863687
CT,Connecticut,1,1,1,0,725019,205073,15126.6,28.66,104.1215472,100.9972059,101.571404,96.61549197,32800,9290,0,33.3,3.59,100628,4584.5,45.56,544358,21,0,2970,312,236260,1630.6,7.05,8988,281.3,31.29,237285,237674,238267,240063,238322.25,3594362,10.25790342,8.098652465,2.159250951,4.552325649,-5.611491546,-1.059165898
DE,Delaware,3,5,1,0,273728,3530,4040.4,24.83,99.99561609,108.1586402,95.45094545,97.78493758,5972,17384,0,58.3,3.35,39304,1266.4,32.48,221203,430,0,0,0,104421,747.7,7.43,4306,129.8,30.15,61230,61132,60865,59870,60774.25,916881,12.22879252,8.438601202,3.790191318,2.62288254,3.598380017,6.221262557
FL,Florida,3,5,1,0,4029903,442188,66380,25.56,101.1539484,122.701204,99.59099126,98.31768388,244646,482984,0,1697.6,3.51,752941,23028.6,30.58,3327632,10056,0,1432,151,1348390,6982.5,5.27,17524,466.2,26.6,755874,759527,772349,770832,764645.5,19355257,11.13002763,9.03425582,2.095771806,5.597252456,5.125320316,10.72257277
GA,Georgia,3,5,1,0,2767491,555238,39837.2,21.73,100.5525221,104.6545806,100.2542849,98.34330419,207725,435546,0,1529.9,3.51,446900,12274.7,27.47,1946907,315,0,21281,2236,625008,3830.1,6.23,20507,527.1,25.7,430182,435187,437646,436896,434977.75,9919000,13.36596967,7.134531014,6.231438652,2.574066623,1.852200877,4.426267501
HI,Hawaii,4,9,1,0,280171,20485,7840.3,40.14,100.413319,124.3104711,97.51285027,96.163428,9604,16572,0,33.3,2.01,32889,3219,99.96,256754,2491,261,1090,115,2813,121.9,44.19,3441,127,36.91,71493,72193,72642,72073,72100.25,1392766,13.63831402,7.385735995,6.252578025,6.883393353,-2.567288472,4.316104881
ID,Idaho,4,8,0,0,510869,154829,6720.4,20.19,103.0818077,89.64664242,104.017618,100.0495295,31038,5186,0,15.8,3.04,80905,1642,20.3,248082,2213,75,104109,10940,90339,543.6,6.43,5318,118.5,22.29,57614,58384,59299,58882,58544.75,1595590,14.06567968,7.483872591,6.581807088,1.012150206,-0.163554415,0.848595791
IL,Illinois,2,3,0,1,3820547,2436702,47883.4,19.35,104.4638111,103.4181857,102.5871179,95.81395349,132247,969294,1094204,2134,2.2,489758,11958.3,24.7,3044403,2042,0,1058,111,950711,6159.4,6.84,65531,1362.5,21.01,708680,714132,717827,709778,712604.25,12873763,12.44582335,7.86935177,4.576471579,2.308132816,-5.690471905,-3.382339088
IN,Indiana,2,3,0,1,2770158,1046014,32334.8,18.07,104.498155,105.7768825,103.3400547,98.83785279,103946,1193465,826842,3883.1,3.25,358852,8611,24.4,2562415,4647,0,4125,434,657719,3874.9,6.2,20584,471.8,23.02,297436,301230,301829,299129,299906,6537632,12.72740588,8.982248767,3.745157111,1.44643192,-1.954161544,-0.507729624
IA,Iowa,2,4,0,0,1440053,677875,16583.3,18.11,105.4732013,107.7592476,105.1322716,98.95085588,216577,422595,0,703.5,1.66,155959,3524.3,22.6,1092732,1281,0,7291,766,299315,1697.7,5.87,62281,1277.6,20.51,155538,159992,160729,160124,159095.75,3075935,12.52923257,9.133605359,3.39562721,1.588382304,-1.398831658,0.189550646
KS,Kansas,2,4,0,0,1075435,793080,13438.2,21.28,102.7639978,104.7440359,104.9545326,100.6578947,38492,307585,388,566,1.84,137481,3733.1,27.42,913457,974,0,99,10,268086,1248.6,5.72,9589,213.9,22.37,141819,141982,140863,141737,141600.25,2885966,13.75450818,8.675573074,5.078935102,2.264446881,-1.789806028,0.474640853
KY,Kentucky,3,6,0,0,1868483,2391118,22535.8,20.79,98.41662996,89.43205647,101.195875,100.4329004,49735,909705,2193276,2249.3,2.47,303833,6377.6,21.37,1735259,2712,0,22475,2362,232702,1191.5,5.71,32072,685.1,21.62,177581,179346,179006,176906,178209.75,4383465,12.63402777,9.79493581,2.839091961,1.471182451,-1.271262488,0.199919964
LA,Louisiana,3,7,1,0,4255161,3789540,44310.8,15.46,98.62428237,84.6552352,100.7381948,101.3583441,113460,238811,53041,691.8,2.9,289101,5675.3,20.49,3886754,1842,0,6470,680,1586439,3929.7,3.27,565869,8111.2,14.35,244622,247067,242300,239246,243308.75,4604744,13.56343013,8.873599837,4.689830292,1.693549828,-0.167960756,1.525589072
ME,Maine,1,1,1,0,399670,152331,7164,22.03,102.5308379,102.0015624,104.8632049,99.22832501,113103,1299,0,6.1,4.69,39446,1365.7,34.62,244896,72,0,35519,3733,70451,530.9,7.62,10825,327.6,30.27,52430,53197,52795,52002,52606,1328592,9.633648809,9.599769925,0.033878884,1.002062095,-0.467528596,0.534533499
MD,Maryland,3,5,1,0,1368600,245197,22470.7,25.75,101.9991963,101.3691032,101.7186826,98.91262136,49822,192334,54088,681.1,3.54,210908,6973.7,33.07,857053,570,0,15764,1657,216678,1802.8,8.63,9977,331.8,33.26,330817,330227,333833,330818,331423.75,5891819,12.39266468,7.40615008,4.986514597,4.71026237,-1.432046554,3.278215816
MA,Massachusetts,1,1,1,0,1363282,110384,26511.6,26.85,104.7789819,92.87668503,104.4135397,98.69646182,57348,24036,0,90.4,3.76,188729,7626.7,40.41,982397,859,0,8683,912,430921,3407.9,7.98,9254,315.2,34.06,426409,432911,437129,432576,432256.25,6655829,10.88656333,7.901659462,2.984903866,5.278525582,-1.63158264,3.646942942
MI,Michigan,2,3,0,1,2687926,626107,38965.2,21.46,105.3758548,104.5774923,104.2504594,95.4333644,140729,621633,0,1917.8,3.09,357640,11422.9,32.29,2186354,5193,0,11561,1215,804084,5628.3,7.38,35551,798.5,22.5,412761,416887,419650,420015,417328.25,9884781,11.44403256,9.015351167,2.428681395,1.87161095,-3.394243177,-1.522632227
MN,Minnesota,2,4,0,1,1816866,417674,24201.2,20.14,102.308921,97.1970963,102.8110176,98.65938431,150916,257875,0,538.1,2.09,231977,5970.3,26.06,1281593,1075,0,5339,561,430286,2252.3,5.56,27850,611.4,22.05,293558,292212,297248,295897,294728.75,5380615,12.68565824,7.327295855,5.358362389,2.405707857,-1.657431116,0.748276741
MS,Mississippi,3,6,1,0,1143099,390246,15314.7,20.75,99.56976605,105.1313787,103.1290198,102.7951807,84165,82456,30537,367.5,4.46,165099,4040.3,25.5,989634,958,0,0,0,499946,1640.5,3.82,8627,222.6,25.81,101616,102859,102497,101359,102082.75,2986137,13.22469013,9.731413719,3.493276415,0.922777567,-1.889480956,-0.966703389
MO,Missouri,2,4,0,0,1781978,203118,25904.3,22.85,103.677262,94.4076842,102.946615,98.77461707,62496,768297,9197,1448.7,1.89,281269,7029.5,24.99,1623633,352,0,6797,714,258945,2210.5,8.71,22703,493.2,21.72,263233,264933,265383,267164,265178.25,6025281,12.53408055,9.244069268,3.290011279,1.440200402,-2.240644077,-0.800443675
MT,Montana,4,8,0,0,395724,1008736,5569.9,21.89,102.5800811,109.536291,100.9174312,100.8222933,7601,157308,660148,255.2,1.62,47302,1132.6,24.32,405716,337,0,107373,11283,75234,455.2,7.36,8061,168.4,20.91,42084,41872,42302,42293,42137.75,1005163,12.00704605,8.947366319,3.059679732,0.865777522,3.550986008,4.41676353
NE,Nebraska,2,4,0,0,852984,357156,10138.1,19.87,102.2076616,103.7426223,101.8247995,97.58429794,107042,272587,0,427.6,1.57,105185,2581.1,24.54,668116,1212,0,11962,1257,161774,837.2,5.44,9757,211.5,21.67,100457,102392,102509,103294,102163,1855487,13.93345465,8.230479385,5.702975267,2.006101599,-0.49165445,1.51444715
NV,Nevada,4,8,0,0,639190,60252,10113,23.8,103.1880974,116.5239328,101.2914071,96.13445378,9154,52850,0,139.8,2.65,120034,3098.5,26.38,548427,23886,2347,23223,2440,281432,1328.5,4.86,4125,115.3,28.39,125119,125841,125797,124061,125204.5,2755245,12.6806984,7.457300015,5.223398384,2.860884817,5.284415979,8.145300796
NH,New Hampshire,1,1,1,0,284490,129929,5950.6,28.61,107.0469964,128.014531,102.8232447,97.4484446,35301,14191,0,57.8,4.07,37089,1542.8,41.6,224415,29,0,12270,1289,74336,547.6,7.37,15243,462.9,30.37,65122,65796,66377,66756,66012.75,1321297,9.371805626,7.957851123,1.413954503,1.444264353,-0.398574528,1.045689826
NJ,New Jersey,1,2,1,0,2241207,393682,39242,24.43,103.1446448,102.4240377,100.5239284,97.21653704,61003,25589,0,103.7,4.05,256081,10239.7,40.12,1647100,466,0,102,11,670970,4823,7.3,6972,231.5,33.21,511838,514685,524955,522212,518422.5,8876000,11.79719813,7.786726434,4.010471699,5.390037844,-5.589037608,-0.198999764
NM,New Mexico,4,8,0,0,666540,2315892,8855.4,24,100.557656,102.2251038,101.1789417,97.91666667,16179,263439,409050,575.5,2.18,79085,1997.5,26.21,745336,368,0,2120,223,249815,725.4,5.15,7683,199.8,26.01,90662,91760,90520,89199,90535.25,2084594,12.98678525,7.91160031,5.075184945,1.34182048,-3.420128893,-2.078308413
NY,New York,1,2,1,1,3503309,817908,65453.9,25.49,103.5064278,106.6745893,101.1867895,97.48921146,122513,72914,0,266.2,3.65,488471,21683.2,44.39,2593481,1185,0,234593,24652,1260950,9323.4,7.5,26543,847.8,31.94,1261237,1291600,1310497,1335920,1299813.5,19607140,12.26311458,7.507957357,4.75515722,5.627811782,-5.94680886,-0.318997079
NC,North Carolina,3,5,1,0,2481060,560887,36240.3,23.79,101.9987022,108.1192825,103.5510192,98.31862127,142163,534713,0,2025.9,3.79,437026,11720.6,26.82,1654828,967,0,35475,3728,367948,2423.1,6.69,36513,943.7,25.85,439578,437297,441483,438972,439332.5,9748181,12.32638698,8.196525686,4.129861297,2.473442478,3.299538451,5.77298093
ND,North Dakota,2,4,0,0,552326,2135154,7095.5,18.3,107.6246637,123.3718036,109.2058347,101.0382514,25455,406344,366826,873.9,2.15,50214,1139.8,22.99,678850,978,0,23573,2477,77469,241.4,5.16,9057,194.2,21.52,49138,52015,53390,54246,52197.25,701705,14.25865588,8.559807981,5.698847901,2.214936836,15.58963681,17.80457364
OH,Ohio,2,3,0,1,3655849,1067944,49523.1,20.71,102.3011071,107.6724997,101.0982754,96.6682762,115615,1019140,642149,2940.6,2.89,520183,13788.3,26.84,2984206,3435,0,3941,414,869934,5388.4,6.42,23914,609.6,25.57,537428,546807,548386,545586,544551.75,11550901,11.92449247,9.653762625,2.270729849,1.441829456,-3.204065457,-1.762236001
OK,Oklahoma,3,7,0,0,1561913,2950525,19780.9,20.34,103.7725533,106.335076,98.98993474,97.6892822,41310,327089,22004,666.2,2.04,202470,4442,22.16,1567142,24,0,10901,1146,712411,3102.3,5.3,8764,192.2,21.99,170727,171751,172707,180461,173911.5,3817059,13.77034468,9.716731027,4.05361365,1.604769118,2.350732931,3.955502049
OR,Oregon,4,9,1,0,975044,496254,14994.4,22.78,101.725358,92.46232776,99.25372139,97.45390694,61814,28259,0,55.6,1.97,159302,3834.9,24.07,575060,1476,26,375027,39410,220578,1337.9,6.2,5689,138.2,24.3,200835,199009,196294,191791,196982.25,3898684,11.56531117,8.479683063,3.085628112,1.55646272,3.376112881,4.932575601
PA,Pennsylvania,1,2,0,1,3623997,4730336,54238.3,22.97,105.6005013,124.1717713,100.5186372,94.34044406,141507,1093178,1390644,3282.6,3,493750,14218.8,29.12,3324396,2162,0,21334,2242,1079497,6576.7,7.09,48347,1456.2,30.12,621577,625166,630212,628307,626315.5,12770043,11.13990659,9.843208668,1.29669792,2.155754413,-1.358703001,0.797051412
RI,Rhode Island,1,1,1,0,183879,2822,3844,26.59,108.3130754,93.09000709,104.2663892,98.57089131,5609,0,0,0,0,26301,982.1,37.34,178036,57,0,41,4,98435,670.3,6.88,1455,52.5,36.1,51191,51751,51897,51128,51491.75,1052637,10.45871132,8.850848381,1.607862944,3.993999972,-5.02599711,-1.031997138
SC,South Carolina,3,5,1,0,1558766,646738,20946,21.83,102.0330184,106.7888388,103.7711258,100.7329363,117091,298572,0,1189.5,3.98,265389,7079.7,26.68,1012652,648,0,13515,1420,250482,1268.9,5.14,8411,214.3,25.48,175203,176012,176006,174515,175434,4722621,12.24478284,8.958164262,3.286618577,1.616488438,5.613008113,7.22949655
SD,South Dakota,2,4,0,0,375950,248616,4786.1,21.05,103.6358558,95.19861956,99.69077119,96.57957245,58812,35574,0,80,2.25,40037,996.3,24.88,225164,1868,0,56915,5981,71501,376.1,5.87,6231,136,21.83,43595,43668,41457,44314,43258.5,834504,14.35121407,8.960163986,5.391050085,1.815907275,5.243944715,7.05985199
TN,Tennessee,3,6,0,0,2080953,468757,28787.6,22.37,102.4774707,116.2470107,100.8524504,97.13902548,96477,423086,28372,1204.3,2.85,328854,8860.3,27.23,1355061,213,0,78942,8296,281007,1578.8,6.01,9047,235.1,26.06,276349,281545,282013,283465,280843,6455177,12.4956763,9.433179866,3.062496431,1.443646067,4.286281332,5.729927399
TX,Texas,3,7,1,0,11931169,14180982,152010.2,19.1,106.1168105,110.6335372,104.0811077,99.89528796,200181,1498818,578697,2865.1,1.91,1245735,30604.4,25.33,11054960,2478,0,5562,584,3964121,11266.1,3.52,1555977,23014.5,14.8,1422860,1424916,1440617,1474883,1440819,26094422,14.61229471,6.532359325,8.079935386,3.09318118,5.630981773,8.724162953
UT,Utah,4,8,0,0,790154,1118599,10604.7,20.96,105.2539125,100.3816381,104.3716465,97.90076336,9560,322055,387129,629.5,1.95,101416,2303.4,23.1,829676,3993,335,7116,748,232630,1063.6,5.86,4285,98.9,23.45,128307,128766,128594,130382,129012.25,2855194,17.79237805,5.456291647,12.3360864,1.790665333,-0.030685027,1.759980305
VT,Vermont,1,1,0,0,130412,77979,3227.9,29.2,105.4557863,107.9624001,103.0174417,96.88356164,16070,0,0,0,0,18803,783.6,41.68,84141,29,0,10555,1109,8290,91.8,11.23,9153,279.9,30.58,27949,28493,28282,27860,28146,626138,9.727061093,8.711563579,1.015497514,1.087348753,-2.604208247,-1.516859494
VA,Virginia,3,5,1,0,2343908,1045095,34366.7,22.69,103.010741,97.8866993,99.95286135,97.1353019,118265,222270,493398,899,4.04,367796,9779.5,26.59,1432460,1701,0,9933,1044,424050,2426.8,5.98,18335,433.4,23.64,440943,444655,447075,445437,444527.5,8193422,12.60775988,7.384867523,5.222892353,4.399884443,0.603915329,5.003799772
WA,Washington,4,9,1,0,2037127,1108998,27632.5,21.79,99.95984541,90.47175919,96.252963,98.71500688,112884,42656,0,89.1,2.09,315052,6349.4,20.49,1049562,1136,0,851343,89464,271947,2260.5,9,16186,410.8,25.83,385283,390135,394757,390438,390153.25,6896325,12.64269392,7.206651895,5.436042021,3.408114204,1.962176887,5.370291091
WV,West Virginia,3,5,0,0,720985,3720223,8945.3,21.13,103.1383455,102.4064955,99.94410473,96.92380502,24257,756716,3059090,2062.2,2.73,105148,2482,23.91,1083056,32,0,13622,1431,140133,542.5,7.2,4030,123.3,30.6,71383,71592,70676,70008,70914.75,1856313,11.14274128,11.58894672,-0.446205435,0.609490757,0.562067957,1.171558715
WI,Wisconsin,2,3,0,1,1721543,333635,24139.9,21.41,105.3391057,93.03969907,103.2709332,95.42269967,133110,373281,0,937.8,2.51,234814,7015.7,30.25,1283286,615,0,14486,1522,410305,2563,6.42,27669,573.3,20.77,270785,274923,274986,274825,273879.75,5724888,11.83206831,8.376660763,3.455407549,1.034663139,-1.653886726,-0.619223586
WY,Wyoming,4,8,0,0,550182,9611304,5728.4,18.52,97.99411831,96.07300945,96.57321416,99.40604752,4165,490128,6973727,724.1,1.48,57906,1189.9,21.19,821266,663,0,8502,893,158546,380.6,5.61,4817,103.3,21.52,40566,40420,39419,39231,39909,576893,12.99754308,7.65558433,5.341958753,0.959350787,9.651173763,10.61052455
DC,District of Columbia,3,5,0,0,172963,277,2218.2,25.5,101.5014772,116.6064982,100.4913894,96.58823529,819,77,0,0.2,3.08,38415,1334.7,34.74,49025,22,0,0,0,29389,316.3,11.18,27,0.7,27.11,109043,110318,109987,109692,109760,635040,14.71006406,7.233961546,7.476102518,5.589951787,10.00583847,15.59579025
US,United States,0,0,0,0,94411432,79032062,1356103.6,21.85,102.8915312,103.2549802,101.6411799,98.16933638,4249844,17380923,20585319,45245.1,2.6,12606145,360862.9,28.98,77530807,211592,15562,2628702,276240,26138351,132829.6,5.74,2911810,50772,17.47,15859934,16007959,16113944,16183122,16041239.75,314112078,12.58154023,7.994235402,4.587304829,3.051932118,,3.051932118